$ SNAKE+ASOTIN CKFLOW.npt based on $//SNAKE+ASOTIN CK/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,764.703
2.000000,768.114
3.000000,734.183
4.000000,709.486
5.000000,706.597
6.000000,726.743
7.000000,690.55
8.000000,689.597
9.000000,729.785
10.000000,703.134
11.000000,702.967
12.000000,743.564
13.000000,680.849
14.000000,637.03
15.000000,678.113
16.000000,728.362
17.000000,776.99
18.000000,1056.843
19.000000,1319.401
20.000000,1260.464
21.000000,1146.301
22.000000,1089.576
23.000000,1070.876
24.000000,1077.429
25.000000,1057.525
26.000000,1040.177
27.000000,1043.042
28.000000,989.87
29.000000,938.234
30.000000,957.697
31.000000,967.149
32.000000,926.941
33.000000,908.049
34.000000,869.472
35.000000,738.611
36.000000,659.623
37.000000,654.143
38.000000,654.08
39.000000,676.712
40.000000,710.889
41.000000,720.14
42.000000,702.166
43.000000,745.959
44.000000,795.095
45.000000,803.094
46.000000,815.712
47.000000,896.856
48.000000,981.659
49.000000,1047.143
50.000000,1088.378
51.000000,1056.302
52.000000,1029.355
53.000000,1030.991
54.000000,1036.629
55.000000,1000.655
56.000000,962.55
57.000000,970.865
58.000000,994.723
59.000000,1006.705
60.000000,1006.535
61.000000,985.304
62.000000,1000.662
63.000000,1024.636
64.000000,1028.412
65.000000,999.638
66.000000,1000.568
67.000000,1027.966
68.000000,982.967
69.000000,929.525
70.000000,860.003
71.000000,874.542
72.000000,943.15
73.000000,958.753
74.000000,985.597
75.000000,960.689
76.000000,1020.758
77.000000,1187.225
78.000000,1285.367
79.000000,1373.519
80.000000,1409.678
81.000000,1394.044
82.000000,1416.155
83.000000,1427.525
84.000000,1474.886
85.000000,1529.494
86.000000,1535.51
87.000000,1528.681
88.000000,1519.751
89.000000,1523.121
90.000000,1615.627
91.000000,1794.497
92.000000,1818.752
93.000000,1856.888
94.000000,1936.529
95.000000,1947.098
96.000000,2097.829
97.000000,2191.046
98.000000,2124.954
99.000000,2034.077
100.000000,1958.474
101.000000,1895.775
102.000000,1848.229
103.000000,1820.387
104.000000,1803.924
105.000000,1789.773
106.000000,1767.279
107.000000,1765.654
108.000000,1859.278
109.000000,1971.91
110.000000,2214.098
111.000000,2365.14
112.000000,2348.712
113.000000,2231.296
114.000000,2126.789
115.000000,2082.346
116.000000,1984.837
117.000000,1933.49
118.000000,1935.183
119.000000,1896.934
120.000000,1846.548
121.000000,1817.558
122.000000,1797.75
123.000000,1782.955
124.000000,1784.976
125.000000,1829.669
126.000000,1865.932
127.000000,1818.016
128.000000,1789.528
129.000000,1867.064
130.000000,1997.677
131.000000,2022.41
132.000000,1993.535
133.000000,2057.266
134.000000,2277.525
135.000000,2641.36
136.000000,3171.728
137.000000,3739.705
138.000000,3752.806
139.000000,3579.862
140.000000,3357.795
141.000000,3328.695
142.000000,3405.776
143.000000,3498.703
144.000000,3757.415
145.000000,3879.341
146.000000,3934.461
147.000000,3982.728
148.000000,3992.671
149.000000,3863.822
150.000000,3647.844
151.000000,3458.689
152.000000,3307.517
153.000000,3220.441
154.000000,3074.009
155.000000,3091.003
156.000000,3089.396
157.000000,3040.368
158.000000,3119.204
159.000000,3422.368
160.000000,3894.14
161.000000,4095.929
162.000000,4013.642
163.000000,3835.511
164.000000,3711.228
165.000000,3735.982
166.000000,3857.532
167.000000,3907.699
168.000000,3870.994
169.000000,3686.011
170.000000,3450.429
171.000000,3279.26
172.000000,3228.168
173.000000,3156.19
174.000000,3204.536
175.000000,3454.153
176.000000,3694.829
177.000000,3747.831
178.000000,3591.582
179.000000,3384.064
180.000000,3240.875
181.000000,3271.772
182.000000,3439.163
183.000000,3438.734
184.000000,3162.719
185.000000,2922.573
186.000000,2787.253
187.000000,2713.892
188.000000,2641.196
189.000000,2527.297
190.000000,2367.854
191.000000,2228.444
192.000000,2095.7
193.000000,1957.125
194.000000,1845.572
195.000000,1786.563
196.000000,1694.248
197.000000,1677.682
198.000000,1676.485
199.000000,1630.113
200.000000,1576.675
201.000000,1532.146
202.000000,1481.89
203.000000,1406.814
204.000000,1377.095
205.000000,1356.098
206.000000,1336.622
207.000000,1264.462
208.000000,1163.381
209.000000,1084.891
210.000000,1056.967
211.000000,1038.644
212.000000,1005.667
213.000000,978.666
214.000000,941.268
215.000000,976.605
216.000000,1018.586
217.000000,963.042
218.000000,843.079
219.000000,767.68
220.000000,756.053
221.000000,770.847
222.000000,794.376
223.000000,796.854
224.000000,751.529
225.000000,696.549
226.000000,694.278
227.000000,678.797
228.000000,644.215
229.000000,642.755
230.000000,676.561
231.000000,674.399
232.000000,627.259
233.000000,585.113
234.000000,585.578
235.000000,643.42
236.000000,683.797
237.000000,687.945
238.000000,680.981
239.000000,679.713
240.000000,653.596
241.000000,585.074
242.000000,603.013
243.000000,663.927
244.000000,644.25
245.000000,631.439
246.000000,590.882
247.000000,546.636
248.000000,557.52
249.000000,570.406
250.000000,616.087
251.000000,668.111
252.000000,780.103
253.000000,900.183
254.000000,870.519
255.000000,871.983
256.000000,895.089
257.000000,891.124
258.000000,894.571
259.000000,866.396
260.000000,860.528
261.000000,894.33
262.000000,914.663
263.000000,931.053
264.000000,920.093
265.000000,894.601
266.000000,854.556
267.000000,848.212
268.000000,846.679
269.000000,856.886
270.000000,877.232
271.000000,857.195
272.000000,845.47
273.000000,839.195
274.000000,838.546
275.000000,876.6
276.000000,907.371
277.000000,889.326
278.000000,804.654
279.000000,760.173
280.000000,769.949
281.000000,790.938
282.000000,822.801
283.000000,847.288
284.000000,778.485
285.000000,663.511
286.000000,631.45
287.000000,645.554
288.000000,648.469
289.000000,638.594
290.000000,627.269
291.000000,624.377
292.000000,638.38
293.000000,652.678
294.000000,647.074
295.000000,634.346
296.000000,621.639
297.000000,610.304
298.000000,604.6
299.000000,603.153
300.000000,601.76
301.000000,600.321
302.000000,597.541
303.000000,594.663
304.000000,591.883
305.000000,590.384
306.000000,591.817
307.000000,593.206
308.000000,591.879
309.000000,584.849
310.000000,580.512
311.000000,579.116
312.000000,577.67
313.000000,577.664
314.000000,576.285
315.000000,573.461
316.000000,569.254
317.000000,566.35
318.000000,570.457
319.000000,577.565
320.000000,580.484
321.000000,579.116
322.000000,574.912
323.000000,573.389
324.000000,577.579
325.000000,581.862
326.000000,581.941
327.000000,574.981
328.000000,570.57
329.000000,565.117
330.000000,546.903
331.000000,533.895
332.000000,528.291
333.000000,518.471
334.000000,511.229
335.000000,513.758
336.000000,519.514
337.000000,519.667
338.000000,514.154
339.000000,504.343
340.000000,497.083
341.000000,492.877
342.000000,499.277
343.000000,535.146
344.000000,597.43
345.000000,606.369
346.000000,544.48
347.000000,537.093
348.000000,566.168
349.000000,567.71
350.000000,573.285
351.000000,595.547
352.000000,588.039
353.000000,544.237
354.000000,551.295
355.000000,562.455
356.000000,549.337
357.000000,561.726
358.000000,599.409
359.000000,617.427
360.000000,572.568
361.000000,547.788
362.000000,572.818
363.000000,646.823
364.000000,734.777
365.000000,786.234
366.000000,787.431
367.000000,767.624
368.000000,758.57
369.000000,779.811
370.000000,741.769
371.000000,632.322
372.000000,598.775
373.000000,622.767
374.000000,639.838
375.000000,638.612
376.000000,613.227
377.000000,590.572
378.000000,631.75
379.000000,679.576
380.000000,640.832
381.000000,604.641
382.000000,567.028
383.000000,577.608
384.000000,631.237
385.000000,669.312
386.000000,726.173
387.000000,769.166
388.000000,811.878
389.000000,833.781
390.000000,833.843
391.000000,802.74
392.000000,776.186
393.000000,805.324
394.000000,832.22
395.000000,805.71
396.000000,768.507
397.000000,760.613
398.000000,755.699
399.000000,756.455
400.000000,774.721
401.000000,779.846
402.000000,770.038
403.000000,760.211
404.000000,753.177
405.000000,748.966
406.000000,747.582
407.000000,751.954
408.000000,761.868
409.000000,773.193
410.000000,775.705
411.000000,762.78
412.000000,765.08
413.000000,771.341
414.000000,764.495
415.000000,760.288
416.000000,757.441
417.000000,757.543
418.000000,758.875
419.000000,819.025
420.000000,981.741
421.000000,1030.552
422.000000,957.541
423.000000,907.734
424.000000,871.211
425.000000,843.333
426.000000,823.677
427.000000,812.64
428.000000,806.925
429.000000,798.303
430.000000,788.497
431.000000,788.85
432.000000,798.731
433.000000,805.617
434.000000,823.31
435.000000,852.902
436.000000,875.341
437.000000,895.427
438.000000,931.676
439.000000,978.386
440.000000,1007.077
441.000000,1019.84
442.000000,1158.888
443.000000,1385.942
444.000000,1429.401
445.000000,1322.203
446.000000,1291.145
447.000000,1373.568
448.000000,1430.624
449.000000,1459.923
450.000000,1481.339
451.000000,1477.292
452.000000,1491.989
453.000000,1595.98
454.000000,1642.321
455.000000,1623.297
456.000000,1646.079
457.000000,1780.57
458.000000,2105.516
459.000000,2278.91
460.000000,2208.246
461.000000,2107.445
462.000000,2031.902
463.000000,1974.31
464.000000,1874.427
465.000000,1770.505
466.000000,1719.216
467.000000,1712.502
468.000000,1747.523
469.000000,1829.703
470.000000,1930.355
471.000000,1969.133
472.000000,1856.443
473.000000,1741.027
474.000000,1711.547
475.000000,1725.27
476.000000,1760.728
477.000000,1764.946
478.000000,1752.325
479.000000,1834.863
480.000000,2041.93
481.000000,2323.982
482.000000,2732.791
483.000000,2951.974
484.000000,3204.699
485.000000,3287.268
486.000000,2979.062
487.000000,2612.524
488.000000,2496.053
489.000000,2439.376
490.000000,2328.334
491.000000,2218.479
492.000000,2127.824
493.000000,2057.914
494.000000,1985.577
495.000000,1886.234
496.000000,1843.998
497.000000,1846.256
498.000000,1896.544
499.000000,1941.28
500.000000,1934.692
501.000000,1940.73
502.000000,1979.715
503.000000,2077.013
504.000000,2264.044
505.000000,2337.59
506.000000,2229.14
507.000000,2101.051
508.000000,2075.692
509.000000,2122.703
510.000000,2301.847
511.000000,2324.576
512.000000,2159.958
513.000000,1938.33
514.000000,1685.818
515.000000,1507.627
516.000000,1497.926
517.000000,1560.007
518.000000,1561.557
519.000000,1570.693
520.000000,1688.597
521.000000,1829.228
522.000000,1974.568
523.000000,2122.899
524.000000,2148.485
525.000000,2025.166
526.000000,1866.939
527.000000,1687.664
528.000000,1537.965
529.000000,1458.567
530.000000,1400.061
531.000000,1396.01
532.000000,1483.937
533.000000,1490.23
534.000000,1475.082
535.000000,1448.786
536.000000,1459.239
537.000000,1518.62
538.000000,1553.449
539.000000,1509.036
540.000000,1482.767
541.000000,1510.167
542.000000,1523.415
543.000000,1536.506
544.000000,1498.668
545.000000,1470.575
546.000000,1420.062
547.000000,1317.824
548.000000,1234.893
549.000000,1163.718
550.000000,1147.258
551.000000,1160.918
552.000000,1121.766
553.000000,1031.151
554.000000,987.544
555.000000,1003.307
556.000000,981.433
557.000000,914.791
558.000000,902.082
559.000000,939.768
560.000000,938.73
561.000000,877.752
562.000000,805.596
563.000000,762.909
564.000000,756.413
565.000000,773.388
566.000000,801.917
567.000000,819.659
568.000000,819.688
569.000000,769.356
570.000000,712.274
571.000000,657.557
572.000000,642.648
573.000000,656.993
574.000000,663.947
575.000000,690.926
576.000000,683.415
577.000000,641.158
578.000000,627.125
579.000000,652.544
580.000000,649.926
581.000000,610.419
582.000000,557.066
583.000000,507.76
584.000000,480.51
585.000000,500.92
586.000000,509.195
587.000000,471.004
588.000000,446.791
589.000000,434.901
590.000000,428.039
591.000000,420.705
592.000000,419.112
593.000000,417.791
594.000000,416.281
595.000000,412.368
596.000000,406.541
597.000000,402.375
598.000000,405.756
599.000000,406.845
600.000000,417.444
601.000000,424.285
602.000000,408.012
603.000000,412.929
604.000000,415.108
605.000000,405.484
606.000000,399.368
607.000000,413.417
608.000000,441.848
609.000000,432.074
610.000000,402.723
611.000000,401.893
612.000000,403.592
613.000000,403.413
614.000000,410.063
615.000000,425.221
616.000000,520.694
617.000000,579.941
618.000000,529.979
619.000000,499.403
620.000000,486.643
621.000000,484.891
622.000000,468.876
623.000000,504.373
624.000000,523.23
625.000000,494.518
626.000000,519.375
627.000000,542.46
628.000000,550.115
629.000000,545.797
630.000000,492.616
631.000000,473.866
632.000000,473.602
633.000000,464.199
634.000000,463.37
635.000000,457.309
636.000000,457.395
637.000000,459.879
638.000000,463.023
639.000000,478.78
640.000000,468.821
641.000000,436.459
642.000000,447.855
643.000000,462.717
644.000000,453.792
645.000000,451.102
646.000000,469.351
647.000000,469.162
648.000000,456.199
649.000000,428.046
650.000000,400.991
651.000000,403.362
652.000000,404.906
653.000000,406.221
654.000000,406.447
655.000000,407.536
656.000000,413.13
657.000000,421.392
658.000000,432.699
659.000000,437.521
660.000000,434.791
661.000000,433.268
662.000000,435.861
663.000000,437.562
664.000000,436.1
665.000000,433.463
666.000000,430.458
667.000000,430.416
668.000000,433.026
669.000000,455.645
670.000000,511.382
671.000000,557.204
672.000000,555.327
673.000000,532.813
674.000000,512.971
675.000000,494.679
676.000000,478.961
677.000000,468.96
678.000000,461.794
679.000000,460.089
680.000000,456.26
681.000000,447.673
682.000000,443.298
683.000000,439.138
684.000000,432.191
685.000000,423.732
686.000000,423.056
687.000000,430.122
688.000000,430.595
689.000000,430.236
690.000000,438.428
691.000000,448.428
692.000000,468.807
693.000000,512.122
694.000000,532.529
695.000000,511.71
696.000000,491.754
697.000000,481.613
698.000000,471.922
699.000000,457.843
700.000000,445.05
701.000000,444.237
702.000000,476.441
703.000000,549.32
704.000000,697.483
705.000000,798.445
706.000000,766.17
707.000000,814.175
708.000000,915.558
709.000000,907.659
710.000000,843.635
711.000000,772.612
712.000000,735.35
713.000000,749.352
714.000000,735.201
715.000000,705.253
716.000000,657.511
717.000000,608.919
718.000000,604.511
719.000000,610.191
720.000000,626.954
721.000000,642.768
722.000000,635.768
723.000000,623.04
724.000000,639.66
725.000000,607.736
726.000000,555.14
727.000000,553.721
728.000000,599.954
729.000000,628.89
730.000000,618.559
731.000000,638.459
732.000000,609.098
733.000000,599.9
734.000000,607.649
735.000000,579.327
736.000000,563.701
737.000000,531.815
738.000000,493.41
739.000000,530.965
740.000000,579.02
741.000000,559.629
742.000000,543.847
743.000000,534.055
744.000000,538.96
745.000000,528.928
746.000000,508.278
747.000000,504.417
748.000000,498.306
749.000000,507.893
750.000000,515.308
751.000000,489.719
752.000000,461.843
753.000000,470.822
754.000000,483.936
755.000000,479.012
756.000000,492.764
757.000000,503.209
758.000000,479.144
759.000000,478.132
760.000000,504.286
761.000000,542.576
762.000000,541.535
763.000000,512.915
764.000000,539.263
765.000000,592.401
766.000000,601.875
767.000000,607.112
768.000000,643.824
769.000000,634.453
770.000000,614.389
771.000000,670.422
772.000000,676.825
773.000000,652.69
774.000000,706.335
775.000000,703.403
776.000000,635.784
777.000000,625.643
778.000000,676.374
779.000000,675.639
780.000000,621.603
781.000000,624.059
782.000000,614.801
783.000000,611.154
784.000000,632.952
785.000000,617.389
786.000000,593.534
787.000000,559.693
788.000000,590.282
789.000000,630.093
790.000000,607.57
791.000000,564.131
792.000000,542.1
793.000000,560.303
794.000000,597.939
795.000000,649.419
796.000000,665.456
797.000000,634.355
798.000000,627.036
799.000000,627.381
800.000000,592.094
801.000000,558.311
802.000000,539.578
803.000000,555.723
804.000000,600.797
805.000000,666.144
806.000000,710.279
807.000000,733.754
808.000000,764.786
809.000000,780.018
810.000000,737.323
811.000000,695.681
812.000000,734.246
813.000000,765.245
814.000000,748.698
815.000000,742.115
816.000000,715.469
817.000000,672.538
818.000000,644.227
819.000000,682.017
820.000000,725.457
821.000000,751.35
822.000000,804.653
823.000000,847.378
824.000000,861.822
825.000000,865.526
826.000000,927.567
827.000000,1017.557
828.000000,1093.196
829.000000,1156.402
830.000000,1196.386
831.000000,1147.57
832.000000,1053.637
833.000000,1016.818
834.000000,993.514
835.000000,975.774
836.000000,961.645
837.000000,931.965
838.000000,881.221
839.000000,833.307
840.000000,836.367
841.000000,826.811
842.000000,798.501
843.000000,818.067
844.000000,839.28
845.000000,809.861
846.000000,780.221
847.000000,786.24
848.000000,792.642
849.000000,801.887
850.000000,819.98
851.000000,905.549
852.000000,980.877
853.000000,997.63
854.000000,989.6
855.000000,931.384
856.000000,892.1
857.000000,896.702
858.000000,942.45
859.000000,1036.018
860.000000,1168.965
861.000000,1331.629
862.000000,1521.091
863.000000,1694.938
864.000000,1824.77
865.000000,1953.792
866.000000,2127.135
867.000000,2207.561
868.000000,2085.162
869.000000,1892.645
870.000000,1760.937
871.000000,1655.165
872.000000,1535.912
873.000000,1434.974
874.000000,1386.023
875.000000,1384.28
876.000000,1353.294
877.000000,1274.018
878.000000,1220.481
879.000000,1175.999
880.000000,1159.218
881.000000,1171.323
882.000000,1244.269
883.000000,1302.692
884.000000,1297.416
885.000000,1222.697
886.000000,1169.733
887.000000,1180.481
888.000000,1200.279
889.000000,1185.427
890.000000,1210.781
891.000000,1248.945
892.000000,1248.421
893.000000,1249.124
894.000000,1238.903
895.000000,1186.235
896.000000,1108.652
897.000000,1046.972
898.000000,995.902
899.000000,948.492
900.000000,915.281
901.000000,895.855
902.000000,890.716
903.000000,916.06
904.000000,935.592
905.000000,898.05
906.000000,847.225
907.000000,820.909
908.000000,830.6
909.000000,874.82
910.000000,924.295
911.000000,922.859
912.000000,971.539
913.000000,985.888
914.000000,944.321
915.000000,949.267
916.000000,890.096
917.000000,780.559
918.000000,706.068
919.000000,688.647
920.000000,695.032
921.000000,705.342
922.000000,709.013
923.000000,682.064
924.000000,651.397
925.000000,583.705
926.000000,559.907
927.000000,546.355
928.000000,524.376
929.000000,572.477
930.000000,566.926
