$ JOHN DAY_OUTFLOW.npt based on $//JOHN DAY_OUT/FLOW//1DAY/F0UMFE_EO40/ ; Units in metric!,
# From Crosswalk12_6_2017.DSS ; Julian Day 1 is 1899-12-31,
JDAY,FLOW
1.000000,4469.102
2.000000,4705.574
3.000000,3991.156
4.000000,4668.634
5.000000,4850.447
6.000000,4687.93
7.000000,3934.694
8.000000,3531.459
9.000000,3418.136
10.000000,3753.339
11.000000,4113.743
12.000000,3720.126
13.000000,4375.724
14.000000,4366.511
15.000000,4574.368
16.000000,4518.405
17.000000,3743.265
18.000000,3906.324
19.000000,5540.734
20.000000,6504.838
21.000000,5973.088
22.000000,5487.983
23.000000,5937.814
24.000000,6278.273
25.000000,6424.258
26.000000,6811.4
27.000000,6280.626
28.000000,6415.897
29.000000,7127.304
30.000000,6443.346
31.000000,5761.945
32.000000,5501.961
33.000000,5841.818
34.000000,6017.535
35.000000,5677.2
36.000000,6032.867
37.000000,5064.773
38.000000,4500.93
39.000000,3985.595
40.000000,5387.164
41.000000,6016.549
42.000000,5667.782
43.000000,6198.832
44.000000,6125.914
45.000000,5236.466
46.000000,5097.488
47.000000,6019.315
48.000000,6440.099
49.000000,6174.065
50.000000,5967.852
51.000000,5928.489
52.000000,5915.018
53.000000,5366.985
54.000000,5322.692
55.000000,5622.818
56.000000,5811.729
57.000000,4996.671
58.000000,5038.688
59.000000,5517.626
60.000000,6242.095
61.000000,5560.866
62.000000,6197.823
63.000000,6092.954
64.000000,5699.037
65.000000,5405.924
66.000000,5025.322
67.000000,5507.277
68.000000,5497.473
69.000000,6100.519
70.000000,5858.279
71.000000,5431.653
72.000000,5919.023
73.000000,6173.526
74.000000,5653.569
75.000000,5341.356
76.000000,5485.986
77.000000,5402.324
78.000000,6380.484
79.000000,6311.411
80.000000,5997.986
81.000000,4882.563
82.000000,5552.746
83.000000,6248.505
84.000000,6231.249
85.000000,5970.021
86.000000,5693.979
87.000000,6735.413
88.000000,5993.107
89.000000,6006.956
90.000000,6225.01
91.000000,6118.319
92.000000,7659.844
93.000000,8609.769
94.000000,8668.083
95.000000,9770.712
96.000000,10287.54
97.000000,9557.189
98.000000,8800.311
99.000000,8069.743
100.000000,8718.67
101.000000,9000.551
102.000000,8517.274
103.000000,8088.509
104.000000,7883.65
105.000000,7910.675
106.000000,7789.398
107.000000,8162.043
108.000000,7437.287
109.000000,7601.662
110.000000,7427.882
111.000000,7454.057
112.000000,7602.941
113.000000,7972.873
114.000000,7565.611
115.000000,7235.145
116.000000,7437.862
117.000000,7139.625
118.000000,7455.899
119.000000,7465.835
120.000000,7081.156
121.000000,6451.925
122.000000,7202.764
123.000000,7122.763
124.000000,7398.613
125.000000,7322.7
126.000000,7159.481
127.000000,7280.041
128.000000,7114.565
129.000000,6967.025
130.000000,7622.926
131.000000,8563.912
132.000000,7577.273
133.000000,8128.39
134.000000,9190.194
135.000000,9913.13
136.000000,10615.53
137.000000,11766.19
138.000000,12386.05
139.000000,13078.71
140.000000,12622.8
141.000000,12936.11
142.000000,12879.27
143.000000,13469.99
144.000000,13565.39
145.000000,14346.97
146.000000,13696.18
147.000000,13944.76
148.000000,13588.38
149.000000,14111.65
150.000000,14275.74
151.000000,14029.45
152.000000,13956.5
153.000000,13716.73
154.000000,13814.83
155.000000,13843.9
156.000000,14096.53
157.000000,14633.33
158.000000,14421.04
159.000000,14538.08
160.000000,14163.78
161.000000,14365.29
162.000000,14229.47
163.000000,13997.33
164.000000,13823.67
165.000000,14008.24
166.000000,13690.63
167.000000,14234.08
168.000000,14108.83
169.000000,14177.54
170.000000,13736.76
171.000000,13378.21
172.000000,12791.36
173.000000,12579.71
174.000000,12873.95
175.000000,12798.51
176.000000,13365.63
177.000000,13473.25
178.000000,12838.27
179.000000,11898.76
180.000000,11661.9
181.000000,11633.19
182.000000,11464.89
183.000000,11645.46
184.000000,12496.74
185.000000,11694.32
186.000000,11948.01
187.000000,11241.01
188.000000,10413.8
189.000000,11270.38
190.000000,11721.83
191.000000,11431.88
192.000000,11054.86
193.000000,10154.21
194.000000,9376.685
195.000000,8929.861
196.000000,9106.903
197.000000,9944.193
198.000000,8865.048
199.000000,8224.759
200.000000,8284.762
201.000000,8591.548
202.000000,8693
203.000000,7752.061
204.000000,7750.545
205.000000,7763.568
206.000000,7434.73
207.000000,7475.833
208.000000,7317.6
209.000000,7099.836
210.000000,7237.486
211.000000,6473.928
212.000000,6225.096
213.000000,6575.22
214.000000,6530.124
215.000000,5850.221
216.000000,5717.388
217.000000,5696.932
218.000000,5870.232
219.000000,5425.373
220.000000,5130.201
221.000000,5664.118
222.000000,5509.473
223.000000,5566.88
224.000000,5875.104
225.000000,5929.18
226.000000,5007.172
227.000000,4630.349
228.000000,5525.193
229.000000,5529.64
230.000000,5761.099
231.000000,5907.978
232.000000,5789.498
233.000000,5211.019
234.000000,4666.322
235.000000,4526.921
236.000000,5004.656
237.000000,5475.73
238.000000,5495.645
239.000000,5615.326
240.000000,4857.805
241.000000,4486.016
242.000000,4386.998
243.000000,4139.226
244.000000,4597.917
245.000000,4150.514
246.000000,3870.058
247.000000,3053.116
248.000000,2699.484
249.000000,2870.052
250.000000,3347.283
251.000000,3645.797
252.000000,3046.306
253.000000,3293.959
254.000000,3291.934
255.000000,3311.368
256.000000,3187.982
257.000000,2962.981
258.000000,2747.537
259.000000,2959.998
260.000000,3177.289
261.000000,3154.263
262.000000,2773.347
263.000000,2768.492
264.000000,3465.407
265.000000,3345.238
266.000000,2824.996
267.000000,2842.823
268.000000,2544.497
269.000000,2774.869
270.000000,2917.862
271.000000,3355.687
272.000000,3218.145
273.000000,3124.03
274.000000,2802.594
275.000000,2607.268
276.000000,2452.941
277.000000,2626.61
278.000000,2702.069
279.000000,3242.401
280.000000,3435.238
281.000000,3185.977
282.000000,2707.576
283.000000,2898.832
284.000000,3142.846
285.000000,3222.225
286.000000,3010.361
287.000000,3020.111
288.000000,3784.042
289.000000,3479.2
290.000000,3933.795
291.000000,3542.872
292.000000,3334.894
293.000000,2899.575
294.000000,3226.793
295.000000,3357.163
296.000000,3224.809
297.000000,2814.613
298.000000,2948.431
299.000000,3150.846
300.000000,2719.264
301.000000,3467.419
302.000000,4175.116
303.000000,3451.797
304.000000,2932.71
305.000000,3065.68
306.000000,3468.071
307.000000,3360.733
308.000000,3700.46
309.000000,3286.379
310.000000,3116.826
311.000000,3309.252
312.000000,3145.71
313.000000,3815.398
314.000000,3089.651
315.000000,3405.682
316.000000,3612.189
317.000000,3403.425
318.000000,3081.523
319.000000,3460.97
320.000000,3270.816
321.000000,3719.326
322.000000,4089.681
323.000000,3544.65
324.000000,3344.709
325.000000,3664.311
326.000000,3876.509
327.000000,3829.317
328.000000,3446.593
329.000000,3471.367
330.000000,3499.824
331.000000,3702.693
332.000000,2847.526
333.000000,3198.039
334.000000,3737.822
335.000000,4035.813
336.000000,3463.745
337.000000,3610.105
338.000000,3443.576
339.000000,3188.18
340.000000,3273.007
341.000000,3921.965
342.000000,4218.652
343.000000,4071.182
344.000000,3859.859
345.000000,4250.158
346.000000,3983.856
347.000000,3675.751
348.000000,3709.231
349.000000,4311.957
350.000000,4171.555
351.000000,3413.801
352.000000,3192.682
353.000000,2863.043
354.000000,3214.06
355.000000,3686.101
356.000000,3294.272
357.000000,3288.399
358.000000,3661.758
359.000000,3169.212
360.000000,3178.456
361.000000,3928.588
362.000000,4068.802
363.000000,3575.973
364.000000,3384.739
365.000000,3460.781
366.000000,3666.427
367.000000,3596.032
368.000000,3077.114
369.000000,3314.701
370.000000,3941.499
371.000000,4044.616
372.000000,4086.231
373.000000,3444.085
374.000000,2858.439
375.000000,3323.972
376.000000,3476.206
377.000000,4028.495
378.000000,3569.62
379.000000,3952.466
380.000000,3705.943
381.000000,3769.256
382.000000,4270.708
383.000000,4330.817
384.000000,4284.729
385.000000,4738.245
386.000000,4558.561
387.000000,4130.946
388.000000,3610.223
389.000000,4037.513
390.000000,4055.077
391.000000,3623.974
392.000000,3692.891
393.000000,4277.956
394.000000,3959.977
395.000000,3872.982
396.000000,3213.943
397.000000,3177.902
398.000000,3219.712
399.000000,3427.859
400.000000,3274.374
401.000000,3369.004
402.000000,3636.698
403.000000,3493.832
404.000000,3407.707
405.000000,3293.584
406.000000,3315.96
407.000000,3685.764
408.000000,3458.426
409.000000,3462.397
410.000000,3696.76
411.000000,3351.311
412.000000,3659.081
413.000000,3923.189
414.000000,3991.323
415.000000,3599.2
416.000000,3229.328
417.000000,3760.222
418.000000,3644.409
419.000000,3362.399
420.000000,4340.033
421.000000,4763.08
422.000000,4065.662
423.000000,3655.392
424.000000,4057.032
425.000000,4295.481
426.000000,3250.248
427.000000,2986.014
428.000000,3433.977
429.000000,3530.055
430.000000,3630.854
431.000000,3665.189
432.000000,3664.57
433.000000,3739.029
434.000000,4159.447
435.000000,3917.54
436.000000,3496.716
437.000000,3988.315
438.000000,4279.4
439.000000,4168.939
440.000000,5002.33
441.000000,4702.528
442.000000,5055.996
443.000000,5377.084
444.000000,5562.619
445.000000,5218.405
446.000000,4757.849
447.000000,5342.874
448.000000,5572.119
449.000000,6366.912
450.000000,6652.634
451.000000,6996.043
452.000000,7039.951
453.000000,6575.162
454.000000,7037.695
455.000000,7707.457
456.000000,8480.383
457.000000,7555.389
458.000000,8131.317
459.000000,8546.782
460.000000,9005.321
461.000000,8614.717
462.000000,7522.597
463.000000,7708.286
464.000000,8040.678
465.000000,8437.268
466.000000,7998.06
467.000000,7718.195
468.000000,8351.844
469.000000,8648.972
470.000000,8170.06
471.000000,8261.382
472.000000,8454.443
473.000000,8398.899
474.000000,8236.285
475.000000,8552.048
476.000000,8773.475
477.000000,8930.425
478.000000,8566.535
479.000000,9037.567
480.000000,9598.029
481.000000,9889.433
482.000000,11059.13
483.000000,11880.07
484.000000,12099.89
485.000000,11529.6
486.000000,11069.73
487.000000,10331.95
488.000000,10671.35
489.000000,10985.51
490.000000,11183.87
491.000000,11236.47
492.000000,11159.14
493.000000,10589.22
494.000000,10058.54
495.000000,9206.479
496.000000,9203.326
497.000000,9559.562
498.000000,9814.42
499.000000,9801.072
500.000000,9295.823
501.000000,8452.012
502.000000,8917.396
503.000000,9606.19
504.000000,9770.675
505.000000,10445.44
506.000000,10633.35
507.000000,10089.29
508.000000,9572.152
509.000000,10118.39
510.000000,10012.84
511.000000,10813.38
512.000000,10406.24
513.000000,9549.223
514.000000,9208.085
515.000000,9215.354
516.000000,8418.498
517.000000,8455.667
518.000000,7921.768
519.000000,7712.757
520.000000,7892.852
521.000000,8230.743
522.000000,8528.159
523.000000,8463.564
524.000000,9327.848
525.000000,10396.14
526.000000,10061.77
527.000000,9705.114
528.000000,10259.99
529.000000,9776.238
530.000000,10079.82
531.000000,9621.006
532.000000,9750.605
533.000000,10162.36
534.000000,9022.124
535.000000,8922.438
536.000000,9307.713
537.000000,10123.22
538.000000,10859
539.000000,9767.165
540.000000,9875.128
541.000000,10103.97
542.000000,10803.27
543.000000,11714.3
544.000000,11358.39
545.000000,11502.42
546.000000,11568.19
547.000000,11079.95
548.000000,10978
549.000000,11255.25
550.000000,11233.14
551.000000,10742.53
552.000000,9827.677
553.000000,10343.23
554.000000,10530.52
555.000000,9236.391
556.000000,9113.295
557.000000,9377.367
558.000000,9309.035
559.000000,9600.441
560.000000,9576.019
561.000000,9903.214
562.000000,10063.92
563.000000,9873.064
564.000000,10104.21
565.000000,10207.29
566.000000,8936.896
567.000000,8598.14
568.000000,8740.404
569.000000,9378.202
570.000000,9405.064
571.000000,9699.806
572.000000,9074.688
573.000000,8610.805
574.000000,8442.209
575.000000,8390.065
576.000000,7864.456
577.000000,7617.644
578.000000,7284.835
579.000000,7494.279
580.000000,7255.664
581.000000,6922.932
582.000000,6487.192
583.000000,6402.228
584.000000,6102.848
585.000000,6000.628
586.000000,5871.631
587.000000,5851.551
588.000000,6184.847
589.000000,5604.042
590.000000,5971.439
591.000000,6195.912
592.000000,6401.441
593.000000,5702.911
594.000000,5273.846
595.000000,4962.999
596.000000,5077.709
597.000000,5024.357
598.000000,4994.313
599.000000,5327.347
600.000000,4984.124
601.000000,5267.169
602.000000,5084.688
603.000000,5361.233
604.000000,4995.66
605.000000,4185.238
606.000000,4728.833
607.000000,4296.601
608.000000,4244.725
609.000000,3849.844
610.000000,4255.905
611.000000,4550.273
612.000000,3562.709
613.000000,2908.072
614.000000,3441.385
615.000000,3360.165
616.000000,3380.099
617.000000,3355.68
618.000000,3250.724
619.000000,2628.574
620.000000,2929.439
621.000000,3441.615
622.000000,3662.352
623.000000,2990.106
624.000000,3098.5
625.000000,3285.489
626.000000,2976.472
627.000000,2898.228
628.000000,3549.703
629.000000,3472.982
630.000000,3166.738
631.000000,3231.044
632.000000,2914.959
633.000000,2509.793
634.000000,2659.318
635.000000,2901.357
636.000000,2876.453
637.000000,2841.475
638.000000,2978.784
639.000000,2717.387
640.000000,2368.122
641.000000,1717.943
642.000000,2405.932
643.000000,2787.572
644.000000,2873.608
645.000000,2663.897
646.000000,2395.771
647.000000,2110.479
648.000000,2265.182
649.000000,2799.891
650.000000,2629.026
651.000000,2807.601
652.000000,2284.14
653.000000,2376.549
654.000000,2128.297
655.000000,2363.922
656.000000,2255.261
657.000000,2090.096
658.000000,2260.154
659.000000,2247.973
660.000000,2518.753
661.000000,2667.183
662.000000,2882.339
663.000000,2824.451
664.000000,2564.94
665.000000,3259.349
666.000000,3488.372
667.000000,3457.943
668.000000,2945.486
669.000000,3064.856
670.000000,3075.937
671.000000,3188.788
672.000000,3276.399
673.000000,3629.679
674.000000,3075.085
675.000000,2924.025
676.000000,3121.187
677.000000,3093.203
678.000000,2946.371
679.000000,3132.797
680.000000,3322.49
681.000000,3326.969
682.000000,3641.872
683.000000,3518.919
684.000000,3595.769
685.000000,3331.016
686.000000,3516.355
687.000000,3743.796
688.000000,3871.393
689.000000,3818
690.000000,3402.773
691.000000,3162.479
692.000000,3913.216
693.000000,3268.932
694.000000,3073.88
695.000000,3031.944
696.000000,2772.735
697.000000,3153.956
698.000000,3938.133
699.000000,3750.777
700.000000,3953.452
701.000000,4169.55
702.000000,4154.917
703.000000,4354.585
704.000000,4227.191
705.000000,4587.291
706.000000,4490.648
707.000000,4810.621
708.000000,4711.416
709.000000,5090.974
710.000000,4943.114
711.000000,4915.789
712.000000,4552.909
713.000000,5226.879
714.000000,5428.964
715.000000,5396.461
716.000000,5850.99
717.000000,4804.156
718.000000,4747.197
719.000000,5482.069
720.000000,5183.251
721.000000,4222.141
722.000000,4218.579
723.000000,4517.296
724.000000,4764.08
725.000000,3938.055
726.000000,3673.369
727.000000,3859.852
728.000000,3974.378
729.000000,4266.111
730.000000,4813.206
731.000000,5293.677
732.000000,5144.282
733.000000,5233.791
734.000000,4983.114
735.000000,5148.935
736.000000,4722.93
737.000000,4928.343
738.000000,4649.266
739.000000,4398.358
740.000000,4608.901
741.000000,5331.173
742.000000,5138.647
743.000000,4708.18
744.000000,4938.226
745.000000,5252.257
746.000000,4544.163
747.000000,5101.252
748.000000,5616.148
749.000000,5721.158
750.000000,4772.022
751.000000,5017.327
752.000000,4791.072
753.000000,4506.046
754.000000,5189.955
755.000000,5173.588
756.000000,4734.957
757.000000,5096.428
758.000000,4360.674
759.000000,4233.632
760.000000,3835.225
761.000000,3847.799
762.000000,3591.305
763.000000,4377.821
764.000000,3821.001
765.000000,3615.488
766.000000,3757.454
767.000000,3856.105
768.000000,3809.079
769.000000,3751.278
770.000000,3923.638
771.000000,3659.429
772.000000,3914.192
773.000000,3488.271
774.000000,3606.745
775.000000,4016.099
776.000000,3598.841
777.000000,3874.904
778.000000,4017.348
779.000000,3698.495
780.000000,3813.02
781.000000,3797.732
782.000000,3628.643
783.000000,3829.287
784.000000,4019.444
785.000000,3665.571
786.000000,3622.933
787.000000,3759.916
788.000000,3440.934
789.000000,3537.2
790.000000,2925.074
791.000000,3626.897
792.000000,3035.031
793.000000,3126.243
794.000000,3177.959
795.000000,2557.736
796.000000,2839.493
797.000000,2959.452
798.000000,3145.659
799.000000,2882.638
800.000000,2944.902
801.000000,3415.812
802.000000,3642.496
803.000000,3393.335
804.000000,2986.939
805.000000,2891.509
806.000000,2892.615
807.000000,3188.808
808.000000,3303.3
809.000000,3381.839
810.000000,3986.687
811.000000,2813.513
812.000000,3609.057
813.000000,3510.958
814.000000,3375.907
815.000000,3354.206
816.000000,3723.461
817.000000,3697.869
818.000000,3508.542
819.000000,3819.414
820.000000,3051.979
821.000000,4125.07
822.000000,4613.503
823.000000,4385.933
824.000000,4100.681
825.000000,4993.515
826.000000,5028.202
827.000000,5693.607
828.000000,6094.792
829.000000,6516.773
830.000000,6717.201
831.000000,7216.869
832.000000,7163.03
833.000000,7690.67
834.000000,7959.164
835.000000,7333.354
836.000000,7091.57
837.000000,7519.896
838.000000,8058.568
839.000000,7269.307
840.000000,7035.826
841.000000,6280.514
842.000000,6430.328
843.000000,6564.73
844.000000,6860.249
845.000000,6296.569
846.000000,5964.796
847.000000,6125.244
848.000000,5841.47
849.000000,6375.441
850.000000,6491.485
851.000000,6245.682
852.000000,6019.948
853.000000,6421.318
854.000000,6475.896
855.000000,6687.353
856.000000,6378.086
857.000000,6253.998
858.000000,6390.833
859.000000,6527.935
860.000000,7458.76
861.000000,7805.638
862.000000,8882.434
863.000000,9869.148
864.000000,10115.75
865.000000,9746.259
866.000000,9221.295
867.000000,9504.521
868.000000,9786.923
869.000000,8935.533
870.000000,9037.671
871.000000,9290.129
872.000000,8830.929
873.000000,8301.932
874.000000,8312.452
875.000000,8890.008
876.000000,8594.863
877.000000,8045.223
878.000000,8115.942
879.000000,8340.73
880.000000,8273.318
881.000000,7800.176
882.000000,7399.694
883.000000,7513.989
884.000000,6944.82
885.000000,6992.663
886.000000,7350.595
887.000000,6862.788
888.000000,6912.801
889.000000,7303.329
890.000000,6832.799
891.000000,6768.935
892.000000,6937.482
893.000000,7177.568
894.000000,6418.837
895.000000,6655.86
896.000000,7123.593
897.000000,7082.081
898.000000,6652.213
899.000000,6224.281
900.000000,5947.274
901.000000,6075.933
902.000000,6464.048
903.000000,6657.276
904.000000,6596.591
905.000000,7953.046
906.000000,7588.554
907.000000,7268.35
908.000000,7286.987
909.000000,7616.039
910.000000,7281.935
911.000000,7437.043
912.000000,8257.833
913.000000,8026.414
914.000000,8130.806
915.000000,8005.888
916.000000,7803.013
917.000000,7949.89
918.000000,7666.229
919.000000,7906.749
920.000000,7130.24
921.000000,7496.607
922.000000,6571.438
923.000000,6299.744
924.000000,5951.105
925.000000,5664.42
926.000000,5874.752
927.000000,6078.205
928.000000,6040.619
929.000000,5838.099
930.000000,5528.188
931.000000,5424.899
932.000000,5374.597
